username,repo_name,stars,repo_url
localstack,localstack,https://github.com//localstack/localstack,35600
drone,drone,https://github.com//drone/drone,24000
jenkinsci,jenkins,https://github.com//jenkinsci/jenkins,17900
auchenberg,volkswagen,https://github.com//auchenberg/volkswagen,12000
openshift,origin,https://github.com//openshift/origin,8000
gocd,gocd,https://github.com//gocd/gocd,6300
concourse,concourse,https://github.com//concourse/concourse,5900
buildbot,buildbot,https://github.com//buildbot/buildbot,4700
theonedev,onedev,https://github.com//theonedev/onedev,4600
Strider-CD,strider,https://github.com//Strider-CD/strider,4500
gaia-pipeline,gaia,https://github.com//gaia-pipeline/gaia,4500
jenkins-x,jx,https://github.com//jenkins-x/jx,4000
hygieia,hygieia,https://github.com//hygieia/hygieia,3700
xcpretty,xcpretty,https://github.com//xcpretty/xcpretty,3600
ovh,cds,https://github.com//ovh/cds,3600
cake-build,cake,https://github.com//cake-build/cake,3100
werf,werf,https://github.com//werf/werf,2700
ligurio,awesome-ci,https://github.com//ligurio/awesome-ci,2700
tox-dev,tox,https://github.com//tox-dev/tox,2400
dancryer,PHPCI,https://github.com//dancryer/PHPCI,2400
TheLartians,ModernCppStarter,https://github.com//TheLartians/ModernCppStarter,2200
dreamans,syncd,https://github.com//dreamans/syncd,2000
houndci,hound,https://github.com//houndci/hound,1900
shivammathur,setup-php,https://github.com//shivammathur/setup-php,1800
fabric8io,fabric8,https://github.com//fabric8io/fabric8,1800
lastbackend,lastbackend,https://github.com//lastbackend/lastbackend,1500
nuke-build,nuke,https://github.com//nuke-build/nuke,1300
FlowCI,flow-core-x,https://github.com//FlowCI/flow-core-x,1300
k1LoW,tbls,https://github.com//k1LoW/tbls,1200
bmitch,churn-php,https://github.com//bmitch/churn-php,1100
